LinkedIn profile ID,Company name,Job title,Industry,ai_SENIORITY,Years in role,Years in company,Number of connections,Number of employees,Year founded,Hiring on LinkedIn,Six months headcount growth,Two years headcount growth,Yearly headcount growth,fe_seniority_ord,fe_type_of_contact_ord,fe_fit_approved,fe_fit_data_approved,fe_company_age,fe_log_employees,fe_company_size_bucket,fe_log_connections,fe_headcount_momentum,fe_has_email,fe_has_bio,fe_microsoft_flag,fe_department_encoded,ext_ms_maturity_score,ext_has_competitor_tech,nlp_report_length,nlp_has_momentum,nlp_urgency_score,nlp_embedding_01,nlp_embedding_02,nlp_embedding_03,nlp_topic,fe_tech_fit_comunica,fe_tech_fit_colabora,fe_tech_fit_infra,fe_tech_fit_ia,fe_tech_fit_data,fe_tech_fit_workplace,fe_tech_fit_maite
ACwAAAsMDAkB35Y11hf27XYa4bZ7qyMpq1gYYvY,Exus Renewables,General Counsel and Head of Legal and Compliance,Services for Renewable Energy,CLEVEL,7.17,7.17,1209.0,167.0,2014.0,1.0,12.0,57.0,24.0,4.0,2,1.0,1.0,12.0,5.123963979403259,2.0,7.098375638590786,24.6,1,1,1.0,0.14668276993314575,,,8727.0,0,5,5.2176585,4.413553,4.2272983,-1,,,,,,,
ACwAAAYBLbYBmsCIyYXZZUOChDAkrgizhjfmlJ8,Exus Renewables,Finantial control Manager/ Investor relations,Services for Renewable Energy,MANAGER,5.33,5.33,733.0,167.0,2014.0,1.0,12.0,57.0,24.0,2.0,2,1.0,1.0,12.0,5.123963979403259,2.0,6.598509028614515,24.6,1,1,1.0,0.10853350576413913,,,8727.0,0,5,5.2936783,4.3607965,4.298478,-1,,,,,,,
ACwAAAFwiy0BPoLIXiO0N8TCxeyt76Q41RRPmrc,Exus Renewables,Head of Accounting and Consolidation,Services for Renewable Energy,DIRECTOR,1.75,1.75,534.0,167.0,2014.0,1.0,12.0,57.0,24.0,3.0,2,1.0,1.0,12.0,5.123963979403259,2.0,6.282266746896006,24.6,1,1,1.0,0.10853350576413913,,,8727.0,0,5,12.374315,5.588479,10.30037,-1,,,,,,,
ACwAAAaCBRoBKPb5WwYiHb51n8_QFkzcrSI9o0o,FACTOR ENERGIA,Software Engineer,Services for Renewable Energy,JR,10.67,10.67,53.0,252.0,1999.0,1.0,2.0,15.0,5.0,0.0,0,0.0,1.0,27.0,5.53338948872752,3.0,3.9889840465642745,5.5,1,0,0.0,0.13006020161599122,,,8116.0,0,6,11.670537,5.6327972,4.467451,2,,,,,,,
ACwAAAsB8eQBhJVc6j6aLTlzVLk65a9c4EKNmDg,Som Energia,Data Product Manager,Renewables & Environment,MANAGER,1.33,11.5,461.0,76.0,2010.0,0.0,0.0,-3.0,0.0,2.0,2,0.0,1.0,16.0,4.343805421853684,2.0,6.135564891081739,-0.6000000000000001,1,1,,0.13006020161599122,,,5126.0,0,4,4.2179737,1.5938318,0.20438641,33,,,,,,,
ACwAAAHAw9wByQ2l1yR6VAuCHWrLIC-uPDMTM9g,Som Energia,Tècnic mercat elèctric,Renewables & Environment,JR,5.67,5.67,840.0,76.0,2010.0,0.0,0.0,-3.0,0.0,0.0,0,0.0,1.0,16.0,4.343805421853684,2.0,6.734591659972948,-0.6000000000000001,1,1,,0.14232247013030247,,,5126.0,0,4,12.424324,5.588805,10.365153,12,,,,,,,
ACwAACWzgpoB1FOB1YM0XOjlDNcDaaxDbtaxcoI,Siroko,"QA, Compliance & Sustainability Manager",Retail Apparel and Fashion,MANAGER,0.5,0.5,1700.0,135.0,2016.0,1.0,3.0,95.0,11.0,2.0,2,0.0,1.0,10.0,4.912654885736052,2.0,7.438971592395862,23.8,1,1,1.0,0.14232247013030247,,,7534.0,0,4,8.257927,-0.1150902,2.2570114,1,,,,,,,
ACwAADZ12hcBQ_E9Ff3Ql3xz1Am_Ip6FKyYjqoA,POWEN,Finance Accountant,Renewables & Environment,JR,0.33,0.33,443.0,134.0,2014.0,0.0,-3.0,-46.0,-11.0,0.0,0,0.0,1.0,12.0,4.90527477843843,2.0,6.095824562432225,-11.7,1,0,,0.10853350576413913,,,7446.0,0,1,10.911861,6.4460845,5.3627515,-1,,,,,,,
ACwAAAZMZ4kBzkdiCi7Ms9DE5wHMbCMt1ruxqWM,ID Energy Group,Contable,Renewable Energy Power Generation,JR,7.25,7.25,176.0,193.0,2008.0,1.0,-31.0,6.0,-31.0,0.0,0,0.0,1.0,18.0,5.267858159063328,2.0,5.176149732573829,-11.7,0,1,0.0,0.10853350576413913,,,9036.0,0,3,10.91078,6.426426,5.3685055,12,,,,,,,
ACwAAAntiKkB2OGAPDgIzuyXOg5Km5CaDHvZRJ4,Wind1000 ,Director financiero,Services for Renewable Energy,DIRECTOR,1.0,1.0,445.0,245.0,2010.0,1.0,0.0,6.0,-2.0,3.0,3,0.0,1.0,16.0,5.5053315359323625,2.0,6.100318952020064,0.6000000000000002,1,1,,0.10853350576413913,,,9470.0,0,2,5.706102,4.0390773,1.9503903,4,,,,,,,
ACwAADbCgPgB2ENaTcxhuKceMkkCtsIbeIwnCgo,Renovalia Energy S.A.,FP&A and Reporting en Renovalia Energy Group SL,Services for Renewable Energy,JR,0.17,0.17,595.0,49.0,,1.0,-3.0,-7.0,-2.0,0.0,0,0.0,1.0,,3.912023005428146,1.0,6.39024066706535,-3.5,1,0,1.0,0.10853350576413913,,,7615.0,0,4,12.349483,5.592903,10.271888,-1,,,,,,,
ACwAAAFDb-0BKBZFFfGlNKFAou_bhtcEBHmMgME,Renovalia Energy S.A.,"Head of Accounting, Consolidation and Tax",Services for Renewable Energy,LEAD,15.92,15.92,247.0,49.0,,1.0,-3.0,-7.0,-2.0,1.0,2,0.0,1.0,,3.912023005428146,1.0,5.5134287461649825,-3.5,1,1,1.0,0.10853350576413913,,,7615.0,0,4,10.902678,6.463245,5.366436,-1,,,,,,,
ACwAABOrD0oBnov7v_OMunVljXsSidO5TZ1K_9w,Renovalia Energy S.A.,DIRECTOR DE TESORERIA,Services for Renewable Energy,DIRECTOR,15.92,15.92,43.0,49.0,,1.0,-3.0,-7.0,-2.0,3.0,2,0.0,1.0,,3.912023005428146,1.0,3.784189633918261,-3.5,1,0,1.0,0.10853350576413913,,,7615.0,0,4,10.903375,6.4630475,5.3654923,-1,,,,,,,
ACwAAEhGnwABjhNeP4ZQ8Drcyf0MYQBQ6KPHCns,emovili,Commercial Advisor,Services for Renewable Energy,JR,0.25,0.25,644.0,38.0,2017.0,0.0,-5.0,-9.0,-7.0,0.0,0,0.0,1.0,9.0,3.6635616461296463,1.0,6.4692503167957724,-6.3999999999999995,1,0,1.0,0.15761884082178054,,,7891.0,0,3,1.3163222,-9.569168,-2.139212,28,,,,,,,
ACwAABn1rP0Bi1ChAi_SHqoOtXYuKSRwTsPgPAo,Bobo Choses,Creative Content Executive ,Retail Apparel and Fashion,JR,1.92,2.08,689.0,78.0,2008.0,0.0,5.0,30.0,2.0,0.0,0,0.0,1.0,18.0,4.3694478524670215,2.0,6.536691597591305,9.1,1,1,0.0,0.15761884082178054,,,5413.0,0,6,5.3481364,0.013983939,6.064231,26,,,,,,,
ACwAAAChDXYBIcvCtraHiTg8xUJJB7KdWiqe21w,Bobo Choses,International Sales Manager Asia Specialist,Retail Apparel and Fashion,MANAGER,1.17,1.17,669.0,78.0,2008.0,0.0,5.0,30.0,2.0,2.0,2,0.0,1.0,18.0,4.3694478524670215,2.0,6.507277712385012,9.1,1,1,0.0,0.15761884082178054,,,5413.0,0,6,5.3476014,0.014181596,6.0639157,26,,,,,,,
ACwAAAMReFsBoeiR0fNn66_K9Qyn7VV_4yW5NTQ,EOLOS Floating Lidar Solutions,Software Engineer,Renewables & Environment,JR,1.33,1.33,557.0,54.0,2014.0,0.0,-11.0,1.0,-14.0,0.0,0,0.0,1.0,12.0,4.007333185232471,2.0,6.324358962381311,-9.5,1,1,1.0,0.13006020161599122,,,189.0,0,0,0.8358114,0.23945579,-0.9082974,15,,,,,,,
