LinkedIn profile ID,Company name,Job title,Industry,ai_SENIORITY,Years in role,Years in company,Number of connections,Number of employees,Year founded,Hiring on LinkedIn,Six months headcount growth,Two years headcount growth,Yearly headcount growth,fe_seniority_ord,fe_type_of_contact_ord,fe_fit_approved,fe_fit_data_approved,fe_company_age,fe_log_employees,fe_company_size_bucket,fe_log_connections,fe_headcount_momentum,fe_has_email,fe_has_bio,fe_microsoft_flag,fe_department_encoded,ext_ms_maturity_score,ext_has_competitor_tech,nlp_report_length,nlp_has_momentum,nlp_urgency_score,nlp_embedding_01,nlp_embedding_02,nlp_embedding_03,nlp_topic,fe_tech_fit_comunica,fe_tech_fit_colabora,fe_tech_fit_infra,fe_tech_fit_ia,fe_tech_fit_data,fe_tech_fit_workplace,fe_tech_fit_maite
ACwAAA9LW4oBYMlOhPsoPA2wSVW7y5DyvaxdWtE,"Lladró, S.A.",jefe de prevencion,Retail Luxury Goods and Jewelry,LEAD,,,10.0,269.0,1953.0,1.0,,5.0,1.0,1.0,2,1.0,1.0,73.0,5.598421958998375,3.0,2.3978952727983707,1.3,0,0,1.0,0.14668276993314575,,,9416.0,0,2,15.9108,19.017138,-5.5669503,-1,,,,,,,
ACwAABeycU8Bs6iG3yOVHzTtdmh_eJhYi6lKa0U,Teltronic,Encargado área SMD,Telecommunications,LEAD,19.08,19.08,142.0,355.0,1974.0,0.0,,9.0,3.0,1.0,2,1.0,1.0,52.0,5.87493073085203,3.0,4.962844630259907,2.7,1,1,1.0,0.14232247013030247,,,7744.0,0,6,10.764045,6.3031316,5.2748647,-1,,,,,,,
ACwAAAokw5gBXQ739_JuWY8GRXlw4u0TSgJ-SgU,"Lladró, S.A.",CEO,Retail Luxury Goods and Jewelry,OWNER,0.17,0.17,511.0,269.0,1953.0,1.0,,5.0,1.0,,3,1.0,1.0,73.0,5.598421958998375,3.0,6.238324625039508,1.3,0,0,1.0,0.14668276993314575,,,9416.0,0,2,15.910533,19.017319,-5.5666924,-1,,,,,,,
ACwAAA93_J0BsiJlmh9dNLghdJXb_SVNYkOQYTc,Teltronic,Head of Manufacturing,Telecommunications,DIRECTOR,19.0,26.67,234.0,355.0,1974.0,0.0,,9.0,3.0,3.0,2,1.0,1.0,52.0,5.87493073085203,3.0,5.459585514144159,2.7,0,1,1.0,0.14232247013030247,,,7744.0,0,6,17.785414,-13.682401,-2.2298331,-1,,,,,,,
ACwAACWKv6YBqNPJ5wrI1Q4A9SE32TGlhxzewkk,Cemex España,Jefe,Building Materials,LEAD,,,7.0,265.0,1992.0,0.0,-1.0,17.0,0.0,1.0,0,1.0,1.0,34.0,5.583496308781699,3.0,2.0794415416798357,2.9000000000000004,0,0,1.0,0.1404710205445131,,,6924.0,0,3,1.4561836,-6.4869356,6.0548086,0,,,,,,,
ACwAAAGTj1gBm5J3xZYbC4vtjBOpI6GbcOGjhi0,Casa del Libro,Creative Director,Retail,DIRECTOR,,19.0,381.0,1492.0,1923.0,0.0,,62.0,23.0,3.0,2,1.0,1.0,103.0,7.30854279753919,4.0,5.945420608606575,19.3,0,1,1.0,0.15761884082178054,2.0,1.0,8011.0,0,4,2.0476737,-6.710378,6.2451625,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACwAABii-9EBsJKKHw_feiCLuiTd8gkVrNStuJY,"Petronor, S.A.",Jefe de control de gestión y recursos financieros,Oil and Gas,LEAD,3.58,7.5,736.0,369.0,1968.0,0.0,,13.0,8.0,1.0,3,1.0,1.0,58.0,5.91350300563827,3.0,6.602587892189336,5.0,0,1,1.0,0.10853350576413913,,,10195.0,0,5,2.66501,7.255361,-7.622043,-1,,,,,,,
ACwAAAjQWMsB9nb79QGRLdviiFJTtUhK9zPyszk,Cemex España,Director Corporativo de Control de Procesos,Building Materials,DIRECTOR,,,0.0,265.0,1992.0,0.0,-1.0,17.0,0.0,3.0,2,1.0,1.0,34.0,5.583496308781699,3.0,0.0,2.9000000000000004,0,0,1.0,0.14232247013030247,,,6924.0,0,3,1.4562889,-6.4862127,6.0557632,0,,,,,,,
ACwAAC4clscBdGBiK2i-6UZWiEgnylD-1-stn8U,Casa del Libro,Jefe de sección,Retail,LEAD,,,7.0,1492.0,1923.0,0.0,,62.0,23.0,1.0,0,1.0,1.0,103.0,7.30854279753919,4.0,2.0794415416798357,19.3,0,0,1.0,0.14232247013030247,2.0,1.0,8011.0,0,4,2.0487113,-6.709866,6.244493,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACwAAACU4eMBkX46Z3BYPq8-dXB_SoeBLg4e9NY,"Lladró, S.A.",Chief Executive Officer,Retail Luxury Goods and Jewelry,OWNER,16.5,,449.0,269.0,1953.0,1.0,,5.0,1.0,,3,1.0,1.0,73.0,5.598421958998375,3.0,6.1092475827643655,1.3,0,0,1.0,0.14668276993314575,,,9416.0,0,2,15.911544,19.016378,-5.5676975,-1,,,,,,,
ACwAACawREsBYf6lL10r2TKM7Uk3poZ43bWRzCw,Casa del Libro,Responsable de Cliente,Retail,LEAD,7.83,17.0,162.0,1492.0,1923.0,0.0,,62.0,23.0,1.0,0,1.0,1.0,103.0,7.30854279753919,4.0,5.093750200806762,19.3,0,1,1.0,0.15761884082178054,2.0,1.0,8011.0,0,4,2.048293,-6.7140155,6.245512,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACwAAAKWsCABEu3f3LHhYrEvE80WlS77BiTl9kY,"Lladró, S.A.",abogado,Retail Luxury Goods and Jewelry,JR,,11.5,1836.0,269.0,1953.0,1.0,,5.0,1.0,0.0,0,1.0,1.0,73.0,5.598421958998375,3.0,7.515889085215125,1.3,1,0,1.0,0.14668276993314575,,,9416.0,0,2,2.7577538,7.157459,-8.366245,-1,,,,,,,
ACwAAACKgnsBrXCESsVSTx7pGJoKoi8Q8iWXI1U,"Lladró, S.A.",Global Operations Director (COO),Retail Luxury Goods and Jewelry,CLEVEL,4.58,4.58,4656.0,269.0,1953.0,1.0,,5.0,1.0,4.0,3,1.0,1.0,73.0,5.598421958998375,3.0,8.446126742982377,1.3,0,1,1.0,0.14232247013030247,,,9416.0,0,2,2.7463179,7.147105,-8.348032,-1,,,,,,,
ACwAAAloMj4BXij1kgQ5sIKdmhM0h9Vt0E2VKYg,Real Madrid C.F.,"Data, Analítica y Research",Spectator Sports,OTHER,3.42,19.42,652.0,8621.0,1902.0,0.0,,29.0,14.0,,2,1.0,1.0,124.0,9.06207235530708,4.0,6.481577129276431,10.0,0,1,1.0,0.15761884082178054,,,9579.0,0,5,2.97178,16.185482,-12.901372,-1,,,,,,,
ACwAAAEZIq0Bs3Jf7NRlDFf1ZEsqlObsB8T3BOc,Areas Iberia,Talent Manager - Responsable de Talento y Comunicación interna,Hospitality,MANAGER,8.33,8.33,2327.0,1106.0,1968.0,1.0,,2.0,0.0,2.0,4,1.0,1.0,58.0,7.009408932708637,4.0,7.752764808851328,0.4,0,1,1.0,0.12212127004571173,,,8517.0,0,3,5.22885,-0.41776037,1.4617289,25,,,,,,,
ACwAAAKRIL4BybT81hGzvER3jJ8vM2_6hAmIe-0,"Petronor, S.A.",Head of HSE,Oil and Gas,DIRECTOR,1.5,1.5,1909.0,369.0,1968.0,0.0,,13.0,8.0,3.0,2,1.0,1.0,58.0,5.91350300563827,3.0,7.554858521040676,5.0,0,1,1.0,0.14232247013030247,,,10195.0,0,5,12.013746,4.2495694,5.0165324,-1,,,,,,,
ACwAAARw34cBtN7hN7u4t--6bKpNpIFbQwNdPsA,"Lladró, S.A.",Empresario,Retail Luxury Goods and Jewelry,OWNER,,,3.0,269.0,1953.0,1.0,,5.0,1.0,,3,1.0,1.0,73.0,5.598421958998375,3.0,1.3862943611198906,1.3,0,0,1.0,0.14668276993314575,,,9416.0,0,2,15.911355,19.016607,-5.5675073,-1,,,,,,,
ACwAABm4NwIBr1OY_C7GduMycSlZSShXQ_StZ1k,JD Sports Iberia,Iberia People Manager,Retail,MANAGER,2.33,2.33,1442.0,515.0,1981.0,1.0,,50.0,19.0,2.0,4,1.0,1.0,45.0,6.246106765481563,3.0,7.274479558773871,15.7,0,0,1.0,0.12212127004571173,,,9716.0,0,2,10.829758,-0.530177,11.634639,59,,,,,,,
ACwAAAPekHQBsNiiY1HGOZcFjm70sByOBIFd-4g,Teltronic,Operations Director,Telecommunications,DIRECTOR,6.83,24.92,269.0,355.0,1974.0,0.0,,9.0,3.0,3.0,3,1.0,1.0,52.0,5.87493073085203,3.0,5.598421958998375,2.7,0,0,1.0,0.14232247013030247,,,7744.0,0,6,10.892226,6.441615,5.3752,-1,,,,,,,
ACwAAAlbI2cBajlwSjqmqkn8JCEPz6ZQohBKrZ8,Real Madrid C.F.,Community Manager,Spectator Sports,MANAGER,7.67,7.67,5307.0,8621.0,1902.0,0.0,,29.0,14.0,2.0,2,1.0,1.0,124.0,9.06207235530708,4.0,8.576970395452099,10.0,0,1,1.0,0.15761884082178054,,,9579.0,0,5,2.9717793,16.18546,-12.901353,-1,,,,,,,
ACwAAAk61HIBYFmWyFrftinybmmzdfVXPdFNoQo,Real Madrid C.F.,Social Media Manager,Spectator Sports,MANAGER,6.42,6.42,829.0,8621.0,1902.0,0.0,,29.0,14.0,2.0,2,1.0,1.0,124.0,9.06207235530708,4.0,6.721425700790643,10.0,1,1,1.0,0.15761884082178054,,,9579.0,0,5,2.97178,16.185482,-12.901372,-1,,,,,,,
ACwAACKAjnABpvjh-OCyUVaxHujN9ch5K5z0l3o,Casa del Libro,Director regional,Retail,DIRECTOR,2.25,30.42,248.0,1492.0,1923.0,0.0,,62.0,23.0,3.0,2,1.0,1.0,103.0,7.30854279753919,4.0,5.517452896464707,19.3,1,0,1.0,0.14232247013030247,2.0,1.0,8011.0,0,4,2.0478258,-6.713771,6.2459397,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACwAAB5kTLcBkbGW3oXdzEKrPl46r61Wn5xNzNQ,"Petronor, S.A.","Responsable de Servicios Generales, Dpto. Personas y Organización.",Oil and Gas,LEAD,0.58,20.92,202.0,369.0,1968.0,0.0,,13.0,8.0,1.0,2,1.0,1.0,58.0,5.91350300563827,3.0,5.313205979041787,5.0,0,1,1.0,0.14668276993314575,,,10195.0,0,5,13.213401,8.283771,-12.107719,-1,,,,,,,
ACwAABaLB70BAO3YO6i_LPP8S70VdKe0dLHzS0c,"Petronor, S.A.",Director Personas y Organizacion,Oil and Gas,DIRECTOR,12.5,12.5,39.0,369.0,1968.0,0.0,,13.0,8.0,3.0,4,1.0,1.0,58.0,5.91350300563827,3.0,3.6888794541139363,5.0,0,0,1.0,0.14668276993314575,,,10195.0,0,5,1.8227886,5.6057158,-8.389164,-1,,,,,,,
ACwAAAWfZeIBlbWSeOrGelRLXEgYYjZrTAOZRf0,"Petronor, S.A.",Secretario consejero de Petronor,Oil and Gas,CLEVEL,3.17,7.67,58.0,369.0,1968.0,0.0,,13.0,8.0,4.0,3,1.0,1.0,58.0,5.91350300563827,3.0,4.07753744390572,5.0,0,1,1.0,0.14668276993314575,,,10195.0,0,5,12.014164,4.290936,5.0252132,-1,,,,,,,
ACwAAAPT-K8B3bgC04pIuIwXpmA4nMYyrC_ClfM,Teltronic,Director General,Telecommunications,OWNER,,,155.0,355.0,1974.0,0.0,,9.0,3.0,,3,1.0,1.0,52.0,5.87493073085203,3.0,5.049856007249537,2.7,0,0,1.0,0.14668276993314575,,,7744.0,0,6,17.784555,-13.683523,-2.2289283,-1,,,,,,,
ACwAAAPnWoUB3KotvBX3Tod0I1kLkVk9dl0iuIc,Casa del Libro,DIRECTOR REGIONAL,Retail,DIRECTOR,,,23.0,1492.0,1923.0,0.0,,62.0,23.0,3.0,2,1.0,1.0,103.0,7.30854279753919,4.0,3.1780538303479458,19.3,0,0,1.0,0.14232247013030247,2.0,1.0,8011.0,0,4,2.0478182,-6.714086,6.245611,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACwAAADU4-UBaQwmYa_riek4g6cgv3t0CDctCgM,"Lladró, S.A.",Communications Director,Retail Luxury Goods and Jewelry,DIRECTOR,,,30.0,269.0,1953.0,1.0,,5.0,1.0,3.0,3,1.0,1.0,73.0,5.598421958998375,3.0,3.4339872044851463,1.3,0,0,1.0,0.22308098920209474,,,9416.0,0,2,2.6840043,7.066981,-8.307885,-1,,,,,,,
ACwAAAKoM4kB654LMa7eKGYXooXs_qF2Sh3F8q8,"Petronor, S.A.",Jefe de Tanques y Terminales Marítimas,Oil and Gas,LEAD,0.17,5.92,352.0,369.0,1968.0,0.0,,13.0,8.0,1.0,2,1.0,1.0,58.0,5.91350300563827,3.0,5.8664680569332965,5.0,0,0,1.0,0.14232247013030247,,,10195.0,0,5,1.9806126,5.6719465,-8.570202,-1,,,,,,,
ACwAAAHdnl8BfBLXmedIniLpQQF0qSQ0VcXvo7Y,Teltronic,Transport Business Development Director  -  Key Account Manager,Telecommunications,DIRECTOR,12.33,41.25,1589.0,355.0,1974.0,0.0,,9.0,3.0,3.0,2,1.0,1.0,52.0,5.87493073085203,3.0,7.371489295214277,2.7,1,1,1.0,0.15761884082178054,,,7744.0,0,6,17.785116,-13.6825075,-2.229542,-1,,,,,,,
ACwAAAHSMnoBTnycXw2uW_Pj6UUsgy_FxXpM8tM,Areas Iberia,"Director de Personas, Cultura y Organización España & Portugal",Hospitality,DIRECTOR,,29.83,1538.0,1106.0,1968.0,1.0,,2.0,0.0,3.0,4,1.0,1.0,58.0,7.009408932708637,4.0,7.338888133838879,0.4,0,0,1.0,0.14668276993314575,,,8517.0,0,3,10.646086,18.1778,-9.237471,25,,,,,,,
ACwAAB4nHAQBIRRdvqeJaR56LrEawTSTfOlWWto,JD Sports Iberia,Treasury Executive,Retail,JR,18.17,18.17,161.0,515.0,1981.0,1.0,,50.0,19.0,0.0,0,1.0,1.0,45.0,6.246106765481563,3.0,5.087596335232384,15.7,0,0,1.0,0.10853350576413913,,,9716.0,0,2,2.6247504,-6.028546,2.2453809,59,,,,,,,
ACwAAAok1BEBSGNPC_ea11ZHsan0Cc3F7iqAKsc,GALACO,HR Director,Food & Beverages,DIRECTOR,6.33,6.33,2477.0,127.0,1945.0,0.0,-3.0,3.0,-7.0,3.0,4,1.0,1.0,81.0,4.852030263919617,2.0,7.815207062189088,-3.0,0,1,1.0,0.12212127004571173,,,9779.0,0,3,0.40212208,6.9525247,-9.138045,38,,,,,,,
ACwAABD4DIMBUnyjFT4g4JuhO8CWg9pXN0qvbhE,"Petronor, S.A.","Jefe de organización (EN CONTRATA, NO EN EMPRESA PETRONOR)",Oil and Gas,LEAD,5.33,5.33,926.0,369.0,1968.0,0.0,,13.0,8.0,1.0,0,1.0,1.0,58.0,5.91350300563827,3.0,6.831953565565855,5.0,0,0,1.0,0.14232247013030247,,,10195.0,0,5,2.665136,7.2546635,-7.6242537,-1,,,,,,,
ACwAADdASCwB0qHJQyZDpX8LiXYYG3bdr3uETyw,Real Madrid C.F.,Head of Digital Design,Spectator Sports,LEAD,9.5,9.5,6.0,8621.0,1902.0,0.0,,29.0,14.0,1.0,2,1.0,1.0,124.0,9.06207235530708,4.0,1.9459101490553132,10.0,0,0,1.0,0.15761884082178054,,,9579.0,0,5,2.9717777,16.185457,-12.901349,-1,,,,,,,
ACwAAC-vHSsBgAyz8dxb9Coie9-4ojoAkX-E9cQ,Generalitat Valenciana - Education department,JEFE DE ESTUDIOS,Higher Education,LEAD,17.17,17.17,0.0,1814.0,,0.0,,0.0,0.0,1.0,2,1.0,1.0,,7.503840746698951,4.0,0.0,0.0,0,0,1.0,0.14668276993314575,,,8665.0,0,4,-10.302378,0.7933519,-4.8656077,20,,,,,,,
ACwAAAmOE3oBGWKeDwD10TyM5pC8wozh3eGSMlU,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Subdirectora General Adjunta de Politicas de Desarrollo. Deputy Ass. Director Development  Policies,Government Administration,DIRECTOR,2.33,9.75,2163.0,1253.0,,0.0,,5.0,5.0,3.0,0,1.0,1.0,,7.134093721192866,4.0,7.679713639966372,2.5,1,1,1.0,0.14668276993314575,,,10572.0,0,2,4.301413,1.576911,0.20670162,6,,,,,,,
ACwAAAIacbQBJEKeXOhq-ETM9YONaxrDUaTYSeQ,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Jefe de Servicio de Prevención,Government Administration,LEAD,1.25,1.25,1140.0,1253.0,,0.0,,5.0,5.0,1.0,2,1.0,1.0,,7.134093721192866,4.0,7.039660349862076,2.5,1,0,1.0,0.14668276993314575,,,10572.0,0,2,4.306807,1.5762566,0.20614564,6,,,,,,,
ACwAABwQqp4BE6SkkxqGqFZfptuxW53IsFTf6EM,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Subdirector General,Government Administration,DIRECTOR,0.33,2.83,289.0,1253.0,,0.0,,5.0,5.0,3.0,3,1.0,1.0,,7.134093721192866,4.0,5.66988092298052,2.5,0,0,1.0,0.14232247013030247,,,10572.0,0,2,4.296286,1.5752051,0.20566572,6,,,,,,,
ACwAADWUVi0BNA1hZHW0TqwqUGnnrwSvoXbPo5A,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Subdirector General de Cancillería,Government Administration,DIRECTOR,1.67,9.08,518.0,1253.0,,0.0,,5.0,5.0,3.0,2,1.0,1.0,,7.134093721192866,4.0,6.251903883165888,2.5,1,1,1.0,0.14668276993314575,,,10572.0,0,2,4.301129,1.5763426,0.20638259,6,,,,,,,
ACwAABGislwBcyaqakVzzgvRYI9uPlmIu_FtZ5o,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación","Director General for United Nations, International Organizations and Human Rights",Government Administration,DIRECTOR,1.17,16.08,384.0,1253.0,,0.0,,5.0,5.0,3.0,0,1.0,1.0,,7.134093721192866,4.0,5.953243334287785,2.5,0,0,1.0,0.14668276993314575,,,10572.0,0,2,4.30074,1.5765392,0.20621416,6,,,,,,,
ACwAABq5Ti4B0R1wL9UHsHdA6snCokgdhgIYrIU,Grupo Ubesol Laboratorios Maverick,Director de calidad,Manufacturing,DIRECTOR,0.5,0.5,611.0,448.0,1980.0,1.0,1.0,0.0,-4.0,3.0,2,1.0,1.0,46.0,6.1070228877422545,3.0,6.416732282512326,-0.7,0,0,1.0,0.14232247013030247,,,8336.0,0,4,-3.5534828,-2.9171295,-1.6281261,-1,,,,,,,
ACwAAAYAd90BKupuPSS5YBWyV62N2mSqGP_PtrY,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Director General de Coordinación del Mercado Interior y Otras Políticas Comunitarias,Government Administration,DIRECTOR,1.83,11.08,944.0,1253.0,,0.0,,5.0,5.0,3.0,2,1.0,1.0,,7.134093721192866,4.0,6.851184927493743,2.5,0,0,1.0,0.14668276993314575,,,10572.0,0,2,4.303218,1.5760639,0.20641166,6,,,,,,,
ACwAAAcCn6sBHit6hM29YiUwhwPMXHW95jGxSwM,Grupo Ubesol Laboratorios Maverick,Jefe de gestión de la cadena de suministro,Manufacturing,LEAD,2.25,2.25,184.0,448.0,1980.0,1.0,1.0,0.0,-4.0,1.0,2,1.0,1.0,46.0,6.1070228877422545,3.0,5.220355825078324,-0.7,0,1,1.0,0.14232247013030247,,,8336.0,0,4,-3.553733,-2.916895,-1.6278772,-1,,,,,,,
ACwAAALIflAB28J0dN7jqgNLt4P_rmHrsR2R32A,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Jefe de servicio en la Ud. de Apoyo de la DG Servicio Exterior,Government Administration,LEAD,0.33,7.25,709.0,1253.0,,0.0,,5.0,5.0,1.0,2,1.0,1.0,,7.134093721192866,4.0,6.565264970035361,2.5,0,0,1.0,0.14232247013030247,,,10572.0,0,2,4.3047514,1.5772145,0.20663817,6,,,,,,,
ACwAAAWCA8sBnnggY-CZT0HTDjfw-_7K1xTvEFc,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Direccion General del Servicio Exterior,Government Administration,DIRECTOR,1.33,1.33,132.0,1253.0,,0.0,,5.0,5.0,3.0,3,1.0,1.0,,7.134093721192866,4.0,4.890349128221754,2.5,0,0,1.0,0.14232247013030247,,,10572.0,0,2,4.3039646,1.57645,0.20635445,6,,,,,,,
ACwAADKNfNMBq7jlJjKg0npiij6eTbjXPD96HBU,Grupo Ubesol Laboratorios Maverick,Director de Planta,Manufacturing,DIRECTOR,4.75,4.75,100.0,448.0,1980.0,1.0,1.0,0.0,-4.0,3.0,2,1.0,1.0,46.0,6.1070228877422545,3.0,4.61512051684126,-0.7,0,0,1.0,0.14232247013030247,,,8336.0,0,4,-3.5534828,-2.9171295,-1.6281261,-1,,,,,,,
ACwAACMa9UUBYaw2GW5mDO9aJHTuLI2zMXiOXVg,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Subdirectora General de Asuntos Industriales Energéticos Transportes Comunicaciones y Medioambiente,Government Administration,DIRECTOR,2.92,2.92,220.0,1253.0,,0.0,,5.0,5.0,3.0,0,1.0,1.0,,7.134093721192866,4.0,5.3981627015177525,2.5,1,0,1.0,0.22308098920209474,,,10572.0,0,2,4.307433,1.5768803,0.20619519,6,,,,,,,
ACwAAAI5JhEBpx1ewVE1ggO7xYxwTPhStXvC4tU,GALACO,Owner,Food & Beverages,OWNER,,30.0,803.0,127.0,1945.0,0.0,-3.0,3.0,-7.0,,3,1.0,1.0,81.0,4.852030263919617,2.0,6.6895992691789665,-3.0,0,0,1.0,0.14668276993314575,,,9779.0,0,3,0.4038867,6.9522786,-9.138208,38,,,,,,,
ACwAADi8KxcBP5BxNBC1-gjzrqhnqauSSf0sUB0,Grupo Ubesol Laboratorios Maverick,Adjunto CEO,Manufacturing,OWNER,4.42,5.08,709.0,448.0,1980.0,1.0,1.0,0.0,-4.0,,3,1.0,1.0,46.0,6.1070228877422545,3.0,6.565264970035361,-0.7,0,1,1.0,0.14668276993314575,,,8336.0,0,4,-3.5539432,-2.9166572,-1.6276516,-1,,,,,,,
ACwAACDeQ84BJFEqmcnkhb8HNyse-72U-FlIi4o,Generalitat Valenciana - Education department,jefe de estudios,Higher Education,LEAD,,,1.0,1814.0,,0.0,,0.0,0.0,1.0,2,1.0,1.0,,7.503840746698951,4.0,0.6931471805599453,0.0,0,0,1.0,0.14668276993314575,,,8665.0,0,4,-4.9367523,1.454371,3.9662294,-1,,,,,,,
ACwAAAOguggBzwwPkcOZ9LQHQ5eDDXAQszBD7cs,GALACO,Director General,Food & Beverages,CLEVEL,7.17,7.17,4180.0,127.0,1945.0,0.0,-3.0,3.0,-7.0,4.0,3,1.0,1.0,81.0,4.852030263919617,2.0,8.338305731356565,-3.0,0,1,1.0,0.14668276993314575,,,9779.0,0,3,1.298853,1.5077358,-1.2803137,38,,,,,,,
ACwAAARZajoBHHyEJok4YJzN0KaNhwxtw7vPYzM,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",Deputy Director General - Diplomatic Information Office,Government Administration,DIRECTOR,2.17,8.25,694.0,1253.0,,0.0,,5.0,5.0,3.0,3,1.0,1.0,,7.134093721192866,4.0,6.543911845564792,2.5,0,0,1.0,0.15761884082178054,,,10572.0,0,2,4.301708,1.5766972,0.20632567,6,,,,,,,
ACwAAAOtBvIBPyK0mjNCFkAWxGDb6wOyIA_0joA,Grupo Ubesol Laboratorios Maverick,Directora de Sistemas en Grupo Ubesol,Manufacturing,DIRECTOR,3.0,13.33,321.0,448.0,1980.0,1.0,1.0,0.0,-4.0,3.0,3,1.0,1.0,46.0,6.1070228877422545,3.0,5.7745515455444085,-0.7,0,0,1.0,0.13006020161599122,,,8336.0,0,4,-3.5532365,-2.9174175,-1.6284103,-1,,,,,,,
ACwAACXSm7oBZR04VRGfXtbg9uwt2MCPAFa_RzA,Generalitat Valenciana - Education department,Director general,Higher Education,DIRECTOR,,,50.0,1814.0,,0.0,,0.0,0.0,3.0,3,1.0,1.0,,7.503840746698951,4.0,3.9318256327243257,0.0,0,0,1.0,0.14232247013030247,,,8665.0,0,4,-4.9367495,1.4543716,3.9662292,20,,,,,,,
ACwAAAj9rQYBEaitNlGcw95gEwtYNIz_TLdrhBQ,GALACO,Especialista Senior de Recursos Humanos,Food & Beverages,JR,1.17,1.17,10118.0,127.0,1945.0,0.0,-3.0,3.0,-7.0,0.0,2,1.0,1.0,81.0,4.852030263919617,2.0,9.222170123729759,-3.0,1,1,1.0,0.12212127004571173,,,9779.0,0,3,0.4038867,6.9522786,-9.138208,38,,,,,,,
ACwAAAh2EKsBW_YVPfGyDLTvhmoVvIQPwG4K3Pc,Generalitat Valenciana - Education department,director general,Higher Education,DIRECTOR,,,1.0,1814.0,,0.0,,0.0,0.0,3.0,3,1.0,1.0,,7.503840746698951,4.0,0.6931471805599453,0.0,0,0,1.0,0.14668276993314575,,,8665.0,0,4,-10.302378,0.7933519,-4.8656077,-1,,,,,,,
ACwAAAYjHKkBG10gOYWkUTpCJ73GqzPKe3G48jg,Generalitat Valenciana - Education department,Jefa de departamento,Higher Education,LEAD,,,0.0,1814.0,,0.0,,0.0,0.0,1.0,2,1.0,1.0,,7.503840746698951,4.0,0.0,0.0,0,0,1.0,0.13006020161599122,,,8665.0,0,4,9.729281,-7.3001566,4.5377164,-1,,,,,,,
ACwAABISdw8BB1HH8cchYgpxFv4YBVXRZu3Y8Ec,Generalitat Valenciana - Education department,Directivo,Higher Education,DIRECTOR,14.58,14.58,1.0,1814.0,,0.0,,0.0,0.0,3.0,3,1.0,1.0,,7.503840746698951,4.0,0.6931471805599453,0.0,0,0,1.0,0.14668276993314575,,,8665.0,0,4,-4.9367447,1.4543705,3.9662292,20,,,,,,,
ACwAAABriWoB7STH7oBb4BLfiGX7dGnhVCXF0mk,Intrum Global Technologies,Group Solutions & Alliances Director,,DIRECTOR,2.33,2.92,1771.0,,,0.0,,,,3.0,3,1.0,1.0,,,,7.4798641311650265,0.0,1,1,0.0,0.15761884082178054,,,8393.0,0,2,5.367985,-0.3050849,-1.3138999,6,,,,,,,
ACwAAAs0MxcBmzMClIFvNYa9er1rmmfABAm_i0c,Generalitat Valenciana - Education department,Jefe del departamento de electrónica (IES Gonzalo Anaya),Higher Education,LEAD,2.33,35.67,57.0,1814.0,,0.0,,0.0,0.0,1.0,2,1.0,1.0,,7.503840746698951,4.0,4.060443010546419,0.0,0,0,1.0,0.13006020161599122,,,8665.0,0,4,-4.9367523,1.454371,3.9662294,20,,,,,,,
ACwAAAnEqNIBU3hG2MKE3sS1oS9dnbkJg0CeI3s,Generalitat Valenciana - Education department,Jefe Estudios,Higher Education,LEAD,,,1.0,1814.0,,0.0,,0.0,0.0,1.0,2,1.0,1.0,,7.503840746698951,4.0,0.6931471805599453,0.0,0,0,1.0,0.14668276993314575,,,8665.0,0,4,-10.302378,0.7933519,-4.8656077,20,,,,,,,
ACwAAB_mKrMBEbpkA3m1vBWZ8XQLE4IiOMUcJBo,Generalitat Valenciana - Education department,JEFA DE ESTUDIOS,Higher Education,LEAD,13.33,13.33,13.0,1814.0,,0.0,,0.0,0.0,1.0,2,1.0,1.0,,7.503840746698951,4.0,2.6390573296152584,0.0,1,0,1.0,0.14668276993314575,,,8665.0,0,4,-4.9367466,1.4543715,3.9662278,-1,,,,,,,
ACwAADQ1GMkBRmKgCLslzSsh3QXWudSwxjlre_8,"Petronor, S.A.",Project Director,Oil and Gas,DIRECTOR,,,0.0,369.0,1968.0,0.0,,13.0,8.0,3.0,2,1.0,1.0,58.0,5.91350300563827,3.0,0.0,5.0,0,0,1.0,0.14232247013030247,,,10195.0,0,5,12.014172,4.290901,5.0252037,-1,,,,,,,
